,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
23,5.2,2014-07-08 07:00:00,20.0,0.20833333333333334,0.0,0.0,13.0,0.04513888888888889,18.0,0.046875,30.0,0.0625,7.0,0.012152777777777778,3.0,0.004464285714285714,9.0,0.01171875,4.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,5.3,2014-07-17 14:00:00,0.0,0.0,10.0,0.052083333333333336,16.0,0.05555555555555555,0.0,0.0,27.0,0.05625,21.0,0.036458333333333336,46.0,0.06845238095238096,18.0,0.0234375,8.0,0.009259259259259259,,,,,,,,,,
25,5.1,2014-08-06 11:45:00,13.0,0.13541666666666666,10.0,0.052083333333333336,17.0,0.059027777777777776,40.0,0.10416666666666667,19.0,0.03958333333333333,23.0,0.03993055555555555,17.0,0.025297619047619048,0.0,0.0,28.0,0.032407407407407406,21.0,0.021875,8.0,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0
26,5.3,2014-09-25 18:30:00,48.0,0.5,45.0,0.234375,55.0,0.1909722222222222,34.0,0.08854166666666667,12.0,0.025,49.0,0.08506944444444445,60.0,0.08928571428571429,57.0,0.07421875,57.0,0.06597222222222222,58.0,0.06041666666666667,56.0,0.05303030303030303,55.0,0.04774305555555555,,,,
27,5.2,2014-10-08 02:00:00,69.0,0.71875,53.0,0.2760416666666667,47.0,0.16319444444444445,59.0,0.15364583333333334,70.0,0.14583333333333334,54.0,0.09375,61.0,0.09077380952380952,61.0,0.07942708333333333,54.0,0.0625,50.0,0.052083333333333336,44.0,0.041666666666666664,48.0,0.041666666666666664,,,,
28,5.2,2014-11-20 01:45:00,49.0,0.5104166666666666,51.0,0.265625,62.0,0.2152777777777778,,,,,,,,,,,,,,,,,,,,,,
29,5.8,2014-11-21 11:15:00,55.0,0.5729166666666666,,,,,,,,,,,,,,,,,,,,,,,,,,
30,6.7,2014-12-11 05:00:00,39.0,0.40625,38.0,0.19791666666666666,26.0,0.09027777777777778,40.0,0.10416666666666667,28.0,0.058333333333333334,42.0,0.07291666666666667,50.0,0.0744047619047619,89.0,0.11588541666666667,43.0,0.04976851851851852,13.0,0.013541666666666667,38.0,0.03598484848484849,40.0,0.034722222222222224,41.0,0.032852564102564104,42.0,0.03125
31,5.1,2014-12-31 11:00:00,61.0,0.6354166666666666,55.0,0.2864583333333333,34.0,0.11805555555555555,19.0,0.049479166666666664,35.0,0.07291666666666667,,,,,,,,,,,,,,,,,,
32,6.3,2015-02-14 04:00:00,44.0,0.4583333333333333,39.0,0.203125,44.0,0.1527777777777778,52.0,0.13541666666666666,38.0,0.07916666666666666,43.0,0.07465277777777778,52.0,0.07738095238095238,40.0,0.052083333333333336,52.0,0.06018518518518518,48.0,0.05,43.0,0.04071969696969697,,,,,,
